ORF,Gene,Control Median,Control STD,Control Localization,Repeat 1 Median,Repeat 1 STD,Repeat 1 Localization,Repeat 2 Median,Repeat 2 STD,Repeat 2 Localization,DTT Median,DTT STD,DTT FoldChange,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Starvation Localization,Description
YKL106C-A,YKL106C-A,14.07,3.697261269,below threshold,14.3909295,3.178387234,below threshold,13.7661955,4.009685773,below threshold,16.85,5.65,1.19,cytosol,15.34,2.79,1.09,cytosol,16.48,6.82,1.17,cytosol,Putative protein of unknown function; identified by homology to uncharacterized proteins in other fungi
YER119C,AVT6,13.95,3.697167952,below threshold,14.393939,3.804569524,below threshold,13.529392,3.535465297,below threshold,15.68,5.43,1.12,cytosol,13.44,2.83,0.96,cytosol,22.85,4.87,1.63,cytosol,Vacuolar aspartate and glutamate exporter; member of a family of seven genes (AVT1-7) related to vesicular GABA-glycine transporters; involved in compartmentalizing acidic amino acids in response to nitrogen starvation
YMR086C-A,YMR086C-A,14.51,3.229484017,below threshold,14.3942695,3.135127707,below threshold,14.6322325,3.308273006,below threshold,18.44,5.79,1.27,cytosol,13.79,3.47,0.95,cytosol,16.39,4.69,1.12,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR030C,RAD28,16.25,4.11515354,below threshold,14.396886,3.768688104,below threshold,18.133937,3.539591042,below threshold,18.27,7.21,1.12,cytosol,15.27,3.34,0.93,cytosol,14.2,2.11,0.87,cytosol,"Protein involved in DNA repair, related to the human CSA protein that is involved in transcription-coupled repair nucleotide excision repair"
YJR128W,YJR128W,15.29,4.01340682,below threshold,14.4108045,4.089947865,below threshold,16.180272,3.790251128,below threshold,17.72,5.62,1.15,cytosol,14.36,3.06,0.93,cytosol,16.22,3,1.06,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RSF2"
YBR090C,YBR090C,16.92,3.626560057,below threshold,14.4162835,3.081940272,below threshold,19.448717,3.64589765,cytosol,15.73,5.33,0.92,cytosol,14.9,3.17,0.88,cytosol,15.94,3.97,0.94,cytosol,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YLR463C,YLR463C,15.67,3.334825008,below threshold,14.428763,3.148515282,below threshold,16.9286815,3.164260995,below threshold,15.56,5.38,0.99,cytosol,16.24,3.65,1.03,cytosol,18.39,7.36,1.17,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORFs YLR462W and YLR464W"
YPL268W,PLC1,14.25,4.611545515,below threshold,14.4295585,5.053837934,below threshold,14.084415,4.101828984,below threshold,16.2,5.1,1.13,cytosol,15.2,2.87,1.06,cytosol,16.69,5.2,1.17,cytosol,"Phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes"
YDR525W,API2,14.3,3.653754616,below threshold,14.436681,3.606454264,below threshold,14.1990295,3.690065008,below threshold,17.34,5.35,1.21,cytosol,15.59,3.89,1.08,cytosol,16.79,8.71,1.17,cytosol,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 26% of ORF overlaps the dubious ORF YDR524C-A; insertion mutation in a cdc34-2 mutant background causes altered bud morphology"
YML089C,YML089C,14.62,3.651084542,below threshold,14.4407195,3.561261286,below threshold,14.806324,3.743269809,below threshold,16.62,7.01,1.13,cytosol,18.09,4.12,1.23,cytosol,17.43,9.71,1.19,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression induced by calcium shortage"
YDR071C,PAA1,15.05,4.091110295,below threshold,14.442509,3.954203795,below threshold,15.6849265,4.240863702,below threshold,14.44,5.81,0.95,cytosol,16.5,3.4,1.09,cytosol,17.76,6.23,1.17,cytosol,"Polyamine acetyltransferase; acetylates polyamines (e.g. putrescine, spermidine, spermine) and also aralkylamines (e.g. tryptamine, phenylethylamine); may be involved in transcription and/or DNA replication"
YJL119C,YJL119C,14.9,3.930801248,below threshold,14.452,3.612117145,below threshold,15.366632,4.228710899,below threshold,16.29,5.05,1.09,cytosol,16.46,4.48,1.1,cytosol,17.47,7.19,1.17,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR524C,AGE1,14.52,3.944257568,below threshold,14.455622,4.190401764,below threshold,14.609319,3.745545921,below threshold,18.72,6.99,1.28,cytosol,17.46,3.48,1.2,cytosol,15.12,7.23,1.04,cytosol,"ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector, involved in the secretory and endocytic pathways; contains C2C2H2 cysteine/histidine motif"
YLR211C,YLR211C,18.27,5.918947413,below threshold,14.456431,3.607895137,below threshold,22.0911855,5.138741829,cytosol,18.55,7.82,1.01,cytosol,15.64,3.71,0.85,cytosol,19.11,4.54,1.04,cytosol,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR211C is not an essential gene; ORF contains an intron
YKL120W,OAC1,14.37,3.736112828,below threshold,14.4603015,3.44348226,below threshold,14.282838,3.842970459,below threshold,13.9,4.89,0.96,cytosol,14.44,2.72,1,cytosol,15.36,5.33,1.06,cytosol,"Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family"
YNL174W,YNL174W,15.36,4.028849933,below threshold,14.4610705,4.328253527,below threshold,16.276949,3.28261301,below threshold,16.42,5.44,1.06,cytosol,16.4,2.86,1.06,cytosol,16.5,3.53,1.07,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene NOP13/YNL175C"
YGL193C,YGL193C,14.94,3.901496792,below threshold,14.470589,4.149544818,below threshold,15.4203715,3.505979447,below threshold,17.04,5.33,1.14,cytosol,16.43,3.24,1.09,cytosol,21.94,7.03,1.46,cytosol,"Haploid-specific gene repressed by a1-alpha2, turned off in sir3 null strains, absence enhances the sensitivity of rad52-327 cells to campothecin almost 100-fold"
YLR366W,YLR366W,15.12,3.923665483,below threshold,14.493724,3.984902622,below threshold,15.7521535,3.815044057,below threshold,16.22,4.77,1.07,cytosol,14.27,3.12,0.94,cytosol,15.22,3.22,1,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR364C-A"
YDR250C,YDR250C,14.86,3.582105105,below threshold,14.49881,3.529042111,below threshold,15.24,3.630708084,below threshold,18.18,5.66,1.22,cytosol,16.59,3.28,1.11,cytosol,16.22,8.35,1.09,cytosol,"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data"
YIL118W,RHO3,14.37,3.868607564,below threshold,14.5,4.086362871,below threshold,14.253398,3.449289397,below threshold,14.45,5.14,1,cytosol,14.5,3.05,1,cytosol,16.97,5.05,1.18,cytosol,Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p
YDL197C,ASF2,15.41,3.566386165,below threshold,14.501284,3.838636307,below threshold,16.324581,3.199390902,below threshold,17.83,5.78,1.15,cytosol,15.17,2.68,0.98,cytosol,14.07,2.54,0.91,cytosol,Anti-silencing protein that causes derepression of silent loci when overexpressed
YOR050C,YOR050C,15.65,3.504451062,below threshold,14.506912,3.085709342,below threshold,16.802048,3.437342521,below threshold,16.56,4.89,1.05,cytosol,16.32,3.51,1.04,cytosol,16.14,4.1,1.03,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; null mutation is viable"
YBL089W,AVT5,13.73,3.978629308,below threshold,14.5076535,3.60854207,below threshold,12.977366,4.146547869,below threshold,13.86,4.81,1,cytosol,14.67,2.62,1.06,cytosol,14.86,3.88,1.08,cytosol,"Putative transporter, member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters"
YDR190C,RVB1,14.58,3.323560969,below threshold,14.509473,2.762503158,below threshold,14.6639,3.493080587,below threshold,17.81,5.77,1.22,cytosol,16.76,3.11,1.14,cytosol,14.27,2.28,0.97,cytosol,Essential protein involved in transcription regulation; component of chromatin remodeling complexes; required for assembly and function of the INO80 complex; also referred to as pontin; member of the RUVB-like protein family
YJL117W,PHO86,14.62,4.107262924,below threshold,14.518694,4.263358691,below threshold,14.738722,3.874503264,below threshold,13.45,4.56,0.91,cytosol,14.81,3.06,1.01,cytosol,12.69,2.81,0.86,cytosol,"Endoplasmic reticulum (ER) resident protein required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles"
YJL215C,YJL215C,14.19,3.667198675,below threshold,14.524862,3.966271464,below threshold,13.879134,3.477712988,below threshold,17.56,5.64,1.23,cytosol,17.12,3.49,1.2,cytosol,16.8,7.61,1.18,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YBR232C,YBR232C,14.04,4.066735254,below threshold,14.527778,4.326568541,below threshold,13.5666665,3.822751528,below threshold,16.7,5.43,1.18,cytosol,16.65,3.98,1.18,cytosol,16.78,9,1.19,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YKL030W,YKL030W,15.32,3.688165569,below threshold,14.5293065,3.374001698,below threshold,16.120218,3.92618035,below threshold,16.61,5.82,1.08,cytosol,16.14,3.42,1.05,cytosol,16.97,7.12,1.1,cytosol,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related <i>Saccharomyces</i> species; partially overlaps the verified gene MAE1"
YCR028C,FEN2,14.83,4.157585518,below threshold,14.530928,4.271530461,below threshold,15.134078,3.99841929,below threshold,14.44,4.79,0.97,cytosol,15.76,3.18,1.06,cytosol,16.17,3.34,1.09,cytosol,Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph
YLR066W,SPC3,13.86,4.069485111,below threshold,14.538462,4.144005835,below threshold,13.2092475,3.917643442,below threshold,16.46,5.95,1.18,cytosol,15.26,3.11,1.1,cytosol,17.08,5.28,1.23,cytosol,"Subunit of signal peptidase complex (Spc1p, Spc2p, Spc3p, Sec11p), which catalyzes cleavage of N-terminal signal sequences of proteins targeted to the secretory pathway; homologous to mammalian SPC22/23"
YPL038W,MET31,15.52,3.546454621,below threshold,14.538762,3.227709995,below threshold,16.526907,3.620105513,below threshold,14.64,5.02,0.94,cytosol,15.85,3.01,1.02,cytosol,15.35,4.77,0.98,cytosol,"Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met32p"
YLR346C,YLR346C,14.76,4.599983222,below threshold,14.55,4.520200771,below threshold,14.977777,4.674921359,below threshold,18.35,7.15,1.24,cytosol,18.49,4.6,1.25,cytosol,16.5,4.51,1.11,cytosol,"Putative protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; YLR346C is not an essential gene"
YLR123C,YLR123C,14.62,3.7723893,below threshold,14.554845,3.822490413,below threshold,14.702381,3.742961861,below threshold,17.3,5.89,1.18,cytosol,16.76,3.59,1.14,cytosol,17.77,7.97,1.21,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR122C; contains characteristic aminoacyl-tRNA motif"
YDR459C,PFA5,14.78,4.253620466,below threshold,14.5587045,4.731434218,below threshold,15.02924,3.875925859,below threshold,16.4,5.61,1.1,cytosol,16.61,3.56,1.12,cytosol,18.59,5.91,1.25,cytosol,Palmitoyltransferase with autoacylation activity; likely functions in pathway(s) outside Ras; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain
YDR120C,TRM1,14.44,3.379722679,below threshold,14.5593435,3.056763718,below threshold,14.334573,3.585793364,below threshold,17.03,4.99,1.17,cytosol,13.17,3.2,0.91,cytosol,18.79,8.42,1.3,cytosol,"tRNA methyltransferase; two forms of the protein are made by alternative translation starts; localizes to both the nucleus and mitochondrion to produce the modified base N2,N2-dimethylguanosine in tRNAs in both compartments"
YNL296W,YNL296W,14.86,3.402330187,below threshold,14.563422,3.277637286,below threshold,15.16129,3.538801532,below threshold,16.18,5.89,1.08,cytosol,16.45,3.38,1.1,cytosol,16.45,4.63,1.1,cytosol,"Dubious open reading frame unlikely to encode a functional protein; deletion adversely affects sporulation; deletion mutant exhibits synthetic phenotype under expression of mutant huntingtin fragment, but gene does not have human ortholog"
YPR092W,YPR092W,14.41,3.888488988,below threshold,14.564767,4.192170446,below threshold,14.2758635,3.577749351,below threshold,17.52,6.55,1.21,cytosol,16.16,3.27,1.12,cytosol,16.36,7.02,1.13,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YOR351C,MEK1,16,3.275191582,below threshold,14.56705,2.575613358,below threshold,17.4408675,3.186697003,below threshold,17.45,5.75,1.09,cytosol,14.32,2.43,0.89,cytosol,13.71,2.4,0.85,cytosol,"Meiosis-specific serine/threonine protein kinase, functions in meiotic checkpoint, promotes recombination between homologous chromosomes by suppressing double strand break repair between sister chromatids"
YOL037C,YOL037C,15.53,4.296016609,below threshold,14.568493,4.380556006,below threshold,16.517948,3.941018934,below threshold,15.76,5.13,1.01,cytosol,18.51,3.62,1.19,cytosol,16.11,4.32,1.03,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOL036W"
YIL106W,MOB1,13.36,3.697079956,below threshold,14.572519,3.657914099,below threshold,12.162264,3.315300034,below threshold,15.55,4.67,1.16,cytosol,17.55,2.7,1.31,cytosol,20.71,7.69,1.54,cytosol,Component of the mitotic exit network; associates with and is required for the activation and Cdc15p-dependent phosphorylation of the Dbf2p kinase; required for cytokinesis and cell separation; component of the CCR4 transcriptional complex
YAL018C,YAL018C,14.66,3.773354053,below threshold,14.578313,4.308030953,below threshold,14.7684535,2.988224085,below threshold,14.25,4.07,0.97,cytosol,15.58,2.64,1.06,cytosol,14.52,3.13,0.98,cytosol,Putative protein of unknown function
YJL045W,YJL045W,15.3,4.440727515,below threshold,14.584707,4.351458053,below threshold,16.026201,4.468187375,below threshold,15.35,5.17,1,cytosol,14.14,3.81,0.92,cytosol,18.97,7.99,1.23,cytosol,"Minor succinate dehydrogenase isozyme; homologous to Sdh1p, the major isozyme reponsible for the oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner"
YIL006W,YIA6,13.8,3.902654674,below threshold,14.5858225,4.162667746,below threshold,13.02349,3.4224448,below threshold,14.87,5.83,1.07,cytosol,15.74,2.57,1.14,cytosol,17.94,8.26,1.29,cytosol,"Mitochondrial NAD+ transporter, involved in the transport of NAD+ into the mitochondria (see also YEA6); member of the mitochondrial carrier subfamily; disputed role as a pyruvate transporter; has putative mouse and human orthologs"
YMR118C,YMR118C,15.19,3.375624831,below threshold,14.595808,3.657646802,below threshold,15.792792,2.606675961,below threshold,15.54,5.95,1.02,cytosol,16.71,3.6,1.1,cytosol,22.44,4.44,1.47,cytosol,Protein of unknown function with similarity to succinate dehydrogenase cytochrome b subunit; YMR118C is not an essential gene
YKL013C,ARC19,16.02,3.674269984,below threshold,14.595855,3.451281682,below threshold,17.4513,3.468961186,below threshold,16.39,6.04,1.02,cytosol,17.2,3.34,1.07,cytosol,16.07,4.22,1,cytosol,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches"
YMR319C,FET4,14.55,3.900145762,below threshold,14.610204,4.270352394,below threshold,14.509202,3.509594927,below threshold,14.42,5.07,0.99,cytosol,15.63,3.1,1.07,cytosol,16.31,5.24,1.12,cytosol,Low-affinity Fe(II) transporter of the plasma membrane
YLR133W,CKI1,14.56,3.63439566,below threshold,14.611465,3.263237213,below threshold,14.524637,3.961870342,below threshold,16.22,5.5,1.11,cytosol,13.13,3.14,0.9,cytosol,16.56,4.93,1.13,cytosol,"Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway"
YOR376W,YOR376W,15.33,3.915840037,below threshold,14.61194,3.728459447,below threshold,16.068047,3.973295877,below threshold,16.76,5.65,1.09,cytosol,15.6,3.61,1.01,cytosol,15.55,3.81,1.01,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YOR376W is not an essential gene."
YIL114C,POR2,14.66,3.982091291,below threshold,14.614865,4.819372157,below threshold,14.727273,3.263635977,below threshold,15.13,6.26,1.03,cytosol,14.59,2.11,0.99,cytosol,16.42,6.63,1.11,cytosol,"Putative mitochondrial porin (voltage-dependent anion channel), related to Por1p but not required for mitochondrial membrane permeability or mitochondrial osmotic stability"
YBR103C-A,YBR103C-A,15.54,4.369158071,below threshold,14.617834,4.131926318,below threshold,16.481308,4.438111888,below threshold,16.39,6.32,1.05,cytosol,16.96,3.21,1.09,cytosol,15.16,4.68,0.97,cytosol,"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; identified by homology to related yeast"
YOL107W,YOL107W,13.51,3.893909867,below threshold,14.62279,3.79581255,below threshold,12.413816,3.787781459,below threshold,12.6,4.76,0.93,cytosol,14.24,2.85,1.05,cytosol,13.08,3.27,0.96,cytosol,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and colocalizes in a punctate pattern with the early golgi/COPI vesicles; YOL107W is not an essential protein
YOL092W,YOL092W,14.32,4.115429627,below threshold,14.624338,4.555012769,below threshold,14.020798,3.246133927,below threshold,13.89,5.18,0.97,cytosol,14.46,2.67,1,cytosol,16.51,6.65,1.15,cytosol,Putative protein of unknown function; predicted to contain six transmembrane domains and is 58% similar to the uncharacterized ORF YBR147W
YPR192W,AQY1,13.98,3.467299072,below threshold,14.627049,3.64739128,below threshold,13.364583,3.127809358,below threshold,14.63,5.07,1.04,cytosol,13.27,2.5,0.94,cytosol,14.4,4.8,1.02,cytosol,"Spore-specific water channel that mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance"
YOR316C,COT1,13.82,3.900395006,below threshold,14.628782,4.218632097,below threshold,13.023739,3.318160102,below threshold,13.4,4.2,0.96,cytosol,15.83,3.12,1.14,cytosol,16.43,4.7,1.18,cytosol,Vacuolar transporter that mediates zinc transport into the vacuole; overexpression confers resistance to cobalt and rhodium
YFL040W,YFL040W,15.25,3.997268502,below threshold,14.6327635,3.769992998,below threshold,15.8819075,4.287345755,below threshold,15.33,4.65,1,cytosol,14.23,3.21,0.93,cytosol,18.38,8.7,1.2,cytosol,"Putative transporter, member of the sugar porter family; YFL040W is not an essential gene"
YHR133C,NSG1,14.03,3.332486998,below threshold,14.6331105,3.173737705,below threshold,13.438709,3.362589375,below threshold,13.89,4.22,0.98,cytosol,15.55,3.7,1.1,cytosol,15.25,3.9,1.08,cytosol,"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins"
YOR123C,LEO1,14.91,3.463469935,below threshold,14.635113,3.737373481,below threshold,15.205065,3.317783031,below threshold,17.01,6.14,1.14,cytosol,17.36,3.4,1.16,cytosol,18.41,4.39,1.23,cytosol,"Component of the Paf1 complex, which associates with RNA polymerase II and is involved in histone methylation; plays a role in regulating Ty1 transposition"
YPL136W,YPL136W,15.2,3.533888731,below threshold,14.6417755,3.282593292,below threshold,15.762431,3.716605109,below threshold,15.38,5.92,1.01,cytosol,16.56,3.78,1.08,cytosol,16.47,4.96,1.08,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GIP3/YPL137C"
YBR301W,PAU24,14.52,3.644788298,below threshold,14.643646,3.703328092,below threshold,14.402684,3.603913312,below threshold,19.41,5.98,1.33,cytosol,16.67,3.25,1.14,cytosol,16.19,6.3,1.11,cytosol,"Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth"
YHL003C,LAG1,13.89,4.04343158,below threshold,14.646068,4.317255746,below threshold,13.158141,3.721528648,below threshold,14.95,5.2,1.07,cytosol,13.94,3.49,1,cytosol,16.07,7.02,1.15,cytosol,"Ceramide synthase component, involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lac1p"
YOL075C,YOL075C,14.72,3.312996566,below threshold,14.6467085,3.24390352,below threshold,14.81203,3.442300976,below threshold,16.51,5.69,1.12,cytosol,15.04,3.04,1.02,cytosol,14.27,5.58,0.96,cytosol,Putative ABC transporter
YKR106W,YKR106W,15.56,4.148001042,below threshold,14.6631765,4.251118451,below threshold,16.460751,3.642798208,below threshold,14.67,5.83,0.94,cytosol,15.77,3.64,1.01,cytosol,15.67,5.04,1,cytosol,Protein of unconfirmed function; displays a topology characteristic of the Major Facilitators Superfamily of membrane proteins; coding sequence 98% identical to that of YCL073C
YJR020W,YJR020W,15.47,3.578444245,below threshold,14.669565,3.078260434,below threshold,16.289426,3.778981453,below threshold,17.05,6.05,1.1,cytosol,17.24,4.34,1.11,cytosol,16.12,4.86,1.04,cytosol,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YBL094C,YBL094C,13.94,3.544885737,below threshold,14.679641,3.459521722,below threshold,13.2292995,3.528983133,below threshold,15.57,5.47,1.11,cytosol,15.51,3.06,1.11,cytosol,16.06,8.31,1.15,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YBL095W"
YLR227C,ADY4,15.84,4.255473353,below threshold,14.6843275,3.959448873,below threshold,17.0005435,4.281190412,below threshold,15.96,5.92,1,cytosol,16.84,3.1,1.06,cytosol,12.76,2.48,0.8,cytosol,"Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane"
YNL043C,YNL043C,14.1,3.75428489,below threshold,14.687906,3.47186232,below threshold,13.534819,3.863739897,below threshold,15.04,5.44,1.06,cytosol,17.06,4.08,1.2,cytosol,19.23,9.21,1.36,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YIP3/YNL044W"
YLR377C,FBP1,14.58,3.531798315,below threshold,14.696851,3.375283278,below threshold,14.473289,3.605112844,below threshold,17.75,6.05,1.21,cytosol,17.77,3.24,1.21,cytosol,24.06,6.53,1.64,cytosol,"Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; interacts with Vid30p"
YLR241W,YLR241W,15.08,4.785520968,below threshold,14.698925,4.066209011,below threshold,15.474359,5.400543553,below threshold,14.59,4.67,0.96,cytosol,15.38,3.71,1.01,cytosol,15.43,3.68,1.02,cytosol,"Putative protein of unknown function, may be involved in detoxification"
YPL140C,MKK2,15.53,3.664459134,below threshold,14.699757,3.651777879,below threshold,16.387665,3.502257369,below threshold,18.4,7.46,1.18,cytosol,16.56,3.59,1.06,cytosol,15.94,2.74,1.02,cytosol,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p"
YLR124W,YLR124W,14.39,3.828506969,below threshold,14.700758,3.733481426,below threshold,14.0911545,3.886783434,below threshold,18.81,8.03,1.3,cytosol,16.13,3.59,1.12,cytosol,15.88,4,1.1,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YNL160W,YGP1,14.59,3.695499283,below threshold,14.7016145,3.895576239,below threshold,14.4862435,3.573761227,below threshold,17.22,5.14,1.18,cytosol,18.98,3.63,1.3,cytosol,26.44,7.27,1.81,cytosol,Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; has similarity to Sps100p
YOR072W,YOR072W,15.34,4.229005914,below threshold,14.7101675,4.350629386,below threshold,15.971831,4.082734486,below threshold,17.19,5.94,1.12,cytosol,15.13,2.72,0.98,cytosol,16.43,5.07,1.07,cytosol,"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate, paraquat and wortmannin sensitive"
YAR064W,YAR064W,13.89,3.674720794,below threshold,14.717105,3.88813874,below threshold,13.077322,3.261296546,below threshold,16.2,5.89,1.16,cytosol,14.46,2.88,1.04,cytosol,17.83,5.9,1.28,cytosol,Putative protein of unknown function
YJL222W,VTH2,14.65,4.319650477,below threshold,14.718309,4.258555183,below threshold,14.601603,4.379911275,below threshold,17.84,5.25,1.21,ambiguous,18.96,3.81,1.29,ambiguous,20.66,6.71,1.4,ambiguous,"Putative membrane glycoprotein with strong similarity to Vth1p and Pep1p/Vps10p, may be involved in vacuolar protein sorting"
YJR040W,GEF1,16.09,4.502997708,below threshold,14.7270385,4.252091657,below threshold,17.4710205,4.441894034,below threshold,16.28,6.78,1.01,cytosol,14.64,3.49,0.9,cytosol,16.58,5.83,1.03,cytosol,"Voltage-gated chloride channel localized to the golgi, the endosomal system, and plasma membrane, and involved in cation homeostasis; highly homologous to vertebrate voltage-gated chloride channels"
YEL071W,DLD3,16.46,4.816179873,below threshold,14.727491,2.878981974,below threshold,18.2080995,4.850731619,below threshold,16.6,5.53,1,cytosol,14.64,2.63,0.88,cytosol,14.02,2.03,0.85,cytosol,"D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm"
YLR024C,UBR2,14.95,2.907660364,below threshold,14.729508,2.722363527,below threshold,15.1970515,3.007993395,below threshold,12.95,3.99,0.86,cytosol,15.48,3.37,1.03,cytosol,19.69,7.04,1.31,cytosol,Cytoplasmic ubiquitin-protein ligase (E3); required for ubiquitylation of Rpn4p; mediates formation of a Mub1p-Ubr2p-Rad6p complex
YGL152C,YGL152C,14.92,3.588889952,below threshold,14.73788,3.656253473,below threshold,15.115461,3.503678269,below threshold,16.69,5.55,1.11,cytosol,14.14,2.38,0.94,cytosol,17.92,3.41,1.2,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF PEX14/YGL153W"
YBL068W,PRS4,14.5,3.548812915,below threshold,14.7478175,3.597420703,below threshold,14.278311,3.443033409,below threshold,16.67,5.36,1.14,cytosol,18.69,4.1,1.28,cytosol,22.97,8.08,1.58,cytosol,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes"
YBL108W,YBL108W,15.13,3.759894937,below threshold,14.747968,4.025130595,below threshold,15.5260835,3.4043578,below threshold,16.17,5.8,1.06,cytosol,15.87,2.96,1.04,cytosol,16.57,5.54,1.09,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YMR153C-A,YMR153C-A,15.86,3.597782633,below threshold,14.75,3.696072214,below threshold,16.976822,3.256261167,below threshold,15.99,6.66,1,cytosol,17.84,3.9,1.12,cytosol,15.98,4.58,1,cytosol,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NUP53"
