Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
P38243,Uncharacterized protein YBR071W,,YBR071W,3,3,20.4,5.43E-13,190.6919397
P40530,"[Pyruvate dehydrogenase [lipoamide]] kinase, mitochondrial",PKP1,YIL042C,7,7,23.9,2.24E-50,190.7359346
P36146,Protein LAS1,LAS1,YKR063C,5,5,12.2,3.30E-25,190.9822355
Q06005,"Octanoyltransferase, mitochondrial",LIP2,YLR239C,6,6,24.4,1.08E-20,191.0190095
P35193,Autophagy-related protein 19,ATG19,YOL082W,7,7,22.7,6.67E-35,191.4889446
P38334,Trafficking protein particle complex subunit 20,TRS20,YBR254C,3,3,22.9,4.41E-10,191.5650907
P40361,Inactive deaminase YJL070C,,YJL070C,13,13,17.3,2.75E-57,191.7723389
P22438,"Methionine--tRNA ligase, mitochondrial",MSM1,YGR171C,13,13,25,5.05E-49,191.8006099
P22136,"ATPase expression protein 2, mitochondrial",AEP2,YMR282C,7,7,14.3,3.49E-40,193.0895103
Q06147,Sphingoid long chain base kinase 5,LCB5,YLR260W,9,9,15.9,1.42E-39,193.2194538
P22007,Protein farnesyltransferase subunit beta,RAM1,YDL090C,7,7,19.3,3.44E-34,193.4598073
Q03652,Protein DML1,DML1,YMR211W,8,8,26.7,7.04E-24,193.5594278
P06774,Transcriptional activator HAP2,HAP2,YGL237C,3,3,21.5,7.00E-53,193.6426843
Q08760,Bud site selection protein RAX1,RAX1,YOR301W,4,4,9.4,7.53E-22,193.8925689
P53129,Vacuolar fusion protein MON1,MON1,YGL124C,14,14,23.1,4.26E-58,193.9855409
P53189,Probable family 17 glucosidase SCW11,SCW11,YGL028C,3,3,8.7,3.59E-24,194.5326937
P25302,Regulatory protein SWI4,SWI4,YER111C,19,19,19.3,6.24E-123,194.9498075
P38892,Probable S-adenosylmethionine-dependent methyltransferase CRG1,CRG1,YHR209W,4,4,19.9,5.78E-39,195.2860572
P53732,"37S ribosomal protein S12, mitochondrial",MRPS12,YNR036C,1,1,9.2,2.76E-09,196.4804602
P40988,Low-affinity Fe(2+) transport protein,FET4,YMR319C,7,7,17.2,1.03E-65,197.267838
P40962,Zinc finger protein RTS2,RTS2,YOR077W,4,4,18.1,1.04E-21,197.8025426
P40014,Kinetochore protein SPC25,SPC25,YER018C,1,1,8.1,1.03E-13,198.0947318
Q07949,Probable phosphatase PSR2,PSR2,YLR019W,3,2,10.1,2.14E-19,198.1323282
P38084,Leu/Val/Ile amino-acid permease,BAP2,YBR068C,5,5,13.1,7.45E-35,198.3886939
P47170,Vacuolar membrane-associated protein IML1,IML1,YJR138W,25,25,18.9,1.10E-160,198.7049696
Q12488,DNA replication complex GINS protein PSF1,PSF1,YDR013W,3,3,17.8,1.70E-20,198.7468706
Q06681,GRAM domain-containing protein YSP2,YSP2,YDR326C,29,29,24.3,2.24E-131,198.9381292
P11978,Regulatory protein SIR4,SIR4,YDR227W,28,28,26.8,1.22E-138,198.9511264
P38326,SWR1-complex protein 5,SWC5,YBR231C,8,8,31.4,2.31E-40,198.9676141
Q06648,GTPase-interacting component 2,GIC2,YDR309C,3,3,15.1,6.38E-14,198.9751807
Q03144,Probable glutamine amidotransferase SNO1,SNO1,YMR095C,2,2,13.4,5.68E-28,199.2254091
P43596,ISWI one complex protein 3,IOC3,YFR013W,12,12,20.8,6.73E-69,199.5404927
P53438,Protein SOK2,SOK2,YMR016C,7,6,19.1,3.68E-34,199.6063009
P38862,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,YHR171W,10,10,19.5,1.45E-51,200.0597996
P46944,Trafficking protein particle complex III-specific subunit 85,TRS85,YDR108W,11,11,18.9,1.97E-45,200.2933105
Q08223,"Altered inheritance of mitochondria protein 39, mitochondrial",AIM39,YOL053W,4,4,12.7,4.08E-32,200.4693503
P22434,"3,5-cyclic-nucleotide phosphodiesterase 1",PDE1,YGL248W,4,4,12.7,1.33E-18,201.2684063
P53285,Vacuolar protein sorting-associated protein 62,VPS62,YGR141W,10,10,25.1,1.59E-44,201.7394663
P53096,Probable histone deacetylase HOS2,HOS2,YGL194C,5,5,17.5,3.11E-45,201.8545341
P53896,GPI mannosyltransferase 2 subunit PGA1,PGA1,YNL158W,1,1,4,0.002218,201.9973568
P32600,Serine/threonine-protein kinase TOR2,TOR2,YKL203C,34,31,18.1,2.69E-239,202.2333226
Q07804,Sterol esterase 1,YEH1,YLL012W,7,7,14,1.49E-62,202.4510371
P53314,"2,3-cyclic-nucleotide 3-phosphodiesterase",CPD1,YGR247W,2,2,16.7,5.12E-21,202.536121
Q06063,tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+],DUS4,YLR405W,3,3,10.4,9.01E-23,202.6253063
Q08749,Mitochondrial import inner membrane translocase subunit TIM18,TIM18,YOR297C,3,3,21.9,5.80E-06,202.6824674
Q08963,U2 small nuclear ribonucleoprotein A,LEA1,YPL213W,2,2,13,5.23E-13,202.697339
P40052,Uncharacterized protein YER079W,YER079W,YER079W,2,2,18.6,7.72E-15,203.071635
Q02724,Ubiquitin-like-specific protease 1,ULP1,YPL020C,9,9,18.2,5.67E-46,203.6908121
Q04093,Putative lipase YDR444W,YDR444W,YDR444W,9,9,19.5,2.19E-35,204.2839058
Q06707,SWR1-complex protein 7,SWC7,YLR385C,3,3,26.5,2.93E-11,204.4124168
P20107,Zinc/cadmium resistance protein,ZRC1,YMR243C,2,2,6.8,3.73E-15,204.469281
P32900,Protein SKG6,SKG6,YHR149C,7,7,17,7.65E-35,204.5862299
Q08058,"Coenzyme Q-binding protein COQ10, mitochondrial",COQ10,YOL008W,3,3,21.7,4.79E-21,204.686765
Q04370,Peroxisome assembly protein 12,PEX12,YMR026C,9,9,25.6,7.32E-37,205.0331713
P51862,RHO1 GDP-GTP exchange protein 2,ROM2,YLR371W,21,21,19.1,3.94E-99,205.2584749
Q02883,"N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D, mitochondrial",FMP30,YPL103C,4,4,15.4,4.35E-28,205.2893732
Q12330,Small nuclear ribonucleoprotein E,SME1,YOR159C,1,1,11.7,8.63E-05,205.6505005
Q06325,Aspartic proteinase yapsin-7,YPS7,YDR349C,3,3,8.7,6.21E-27,205.8355581
P40099,5-formyltetrahydrofolate cyclo-ligase,FAU1,YER183C,1,1,4.7,0.00037021,205.9451236
P06843,Protein SPT2,SPT2,YER161C,6,6,17.7,2.17E-16,206.0017418
Q12124,Mediator of RNA polymerase II transcription subunit 2,MED2,YDL005C,6,6,18.8,8.54E-68,206.1976829
Q04847,Non-SCF-type F-box protein ROY1,ROY1,YMR258C,8,8,15,3.84E-37,206.2450967
P38170,Condensin complex subunit 2,BRN1,YBL097W,11,11,20,4.93E-82,206.466056
Q03833,Transcriptional activator/repressor GIS1,GIS1,YDR096W,10,10,20.4,1.12E-69,206.546595
P32336,Protein NUD1,NUD1,YOR373W,16,16,24.4,3.05E-112,206.8396782
P38313,Central kinetochore subunit AME1,AME1,YBR211C,5,5,24.7,2.96E-54,207.0106551
P40968,Pre-mRNA-processing factor 17,CDC40,YDR364C,6,6,15.2,1.26E-42,207.3201828
P53049,Oligomycin resistance ATP-dependent permease YOR1,YOR1,YGR281W,20,20,17.3,1.55E-118,207.6407834
P43574,Transcriptional regulatory protein GAT1,GAT1,YFL021W,6,6,16.3,3.71E-21,207.7941814
P53911,Chromatin modification-related protein EAF7,EAF7,YNL136W,5,5,14.6,8.68E-27,207.815142
Q12060,Transcriptional coactivator HFI1/ADA1,HFI1,YPL254W,8,8,21.7,2.30E-43,207.9459861
Q03714,U1 SNP1-associating protein 1,USA1,YML029W,8,8,11.2,5.37E-50,209.3604718
Q03210,Probable RNA exonuclease NGL3,NGL3,YML118W,10,10,28.1,1.32E-52,209.3979472
P32912,Vacuolar morphogenesis protein 7,VAM7,YGL212W,2,2,9.8,1.70E-21,209.6297007
Q06108,Regulator of the glycerol channel 1,RGC1,YPR115W,22,19,25.6,4.55E-108,209.6381233
Q04408,Uncharacterized protein YDR514C,YDR514C,YDR514C,11,11,25.9,2.91E-25,209.7271298
P21560,"Protein CBP3, mitochondrial",CBP3,YPL215W,3,3,11,5.95E-13,210.1966032
P40164,Serine/threonine-protein phosphatase 4 regulatory subunit 3,PSY2,YNL201C,13,13,22,8.27E-104,210.4339369
Q06628,Autophagy-related protein 13,ATG13,YPR185W,8,8,15.9,2.29E-89,210.5025631
Q12420,66 kDa U4/U6.U5 small nuclear ribonucleoprotein component,SNU66,YOR308C,10,10,24.9,3.95E-61,210.6890009
P53283,Polyamine transporter 2,TPO2,YGR138C,1,1,3.7,9.30E-11,210.7324418
P20095,Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2,PRP2,YNR011C,14,14,17.5,2.02E-66,210.8647932
P53171,"Genetic interactor of prohibitin 7, mitochondrial",GEP7,YGL057C,4,4,21.6,3.19E-31,211.1107833
Q12158,Sister chromatid cohesion protein 1,MCD1,YDL003W,10,10,24,5.86E-48,211.5314809
Q03654,Pre-mRNA-splicing factor CEF1,CEF1,YMR213W,13,13,28.5,9.21E-56,212.0960481
P38969,"Pentamidine resistance factor, mitochondrial",PNT1,YOR266W,9,9,22,2.16E-27,212.4530786
P43497,Cell wall protein CWP2,CWP2,YKL096W-A,1,1,18.5,0.00066125,212.5197501
P39933,Transcription factor IIIA,PZF1,YPR186C,7,7,24.9,1.09E-66,213.1838348
Q03760,Pre-mRNA leakage protein 39,PML39,YML107C,6,6,23.7,2.42E-36,213.3406658
P39552,Multicopy suppressor of SEC21 protein 28,MST28,YAR033W,3,3,26.1,4.76E-10,213.7163123
Q03083,Uncharacterized protein YPL034W,YPL034W,YPL034W,3,3,22.4,3.82E-13,213.8094588
Q04066,Probable kynurenine formamidase,BNA7,YDR428C,5,5,24.9,6.76E-34,214.4122514
P47027,DNA replication regulator DPB11,DPB11,YJL090C,6,6,9,5.01E-29,214.42753
P25376,General amino acid permease AGP1,AGP1,YCL025C,6,6,14.8,7.11E-60,214.8654316
P10127,Alcohol dehydrogenase 4,ADH4,YGL256W,5,5,22.3,5.03E-30,215.6068565
P32893,Trafficking protein particle complex II-specific subunit 65,TRS65,YGR166W,9,9,23.8,1.16E-38,216.2999249
Q02100,CRE-binding bZIP protein SKO1,SKO1,YNL167C,10,10,32.8,5.97E-102,216.512259
P35999,Mitochondrial intermediate peptidase,01-Oct,YKL134C,16,16,25.5,6.52E-130,216.9530306
O13585,Dilute domain-containing protein YPR089W,YPR089W/YPR090W,YPR089W,9,9,16.9,4.96E-66,216.9923039
P38361,Phosphate permease PHO89,PHO89,YBR296C,3,3,6.8,9.30E-22,217.3297052
P40395,Protein RIC1,RIC1,YLR039C,21,21,23.4,3.06E-105,217.836246
P32504,Centromere DNA-binding protein complex CBF3 subunit A,CBF2,YGR140W,18,18,23,5.68E-68,217.9591531
P47148,Uncharacterized protein YJR111C,,YJR111C,3,3,11,1.49E-31,218.0069344
Q06479,F-box protein YLR352W,YLR352W,YLR352W,12,12,21.1,6.34E-63,218.9072391
P39723,Spindle pole component SPC72,SPC72,YAL047C,11,11,27.2,2.39E-94,219.0028911
P33417,Intrastrand cross-link recognition protein,IXR1,YKL032C,7,7,11.6,5.57E-34,219.2912011
Q08484,GTPase-activating protein GYP1,GYP1,YOR070C,7,7,16.2,1.14E-20,219.5096353
P38266,Altered inheritance of mitochondria protein 3,AIM3,YBR108W,10,10,15.3,7.80E-85,220.0870115
P33411,Pre-mRNA-splicing factor 18,PRP18,YGR006W,4,4,23.1,4.60E-23,220.1254311
P40025,Phosphate metabolism protein 8,PHM8,YER037W,3,3,9,2.80E-17,220.8864267
Q03407,Serine/threonine-protein kinase PKH1,PKH1,YDR490C,12,11,26.4,1.81E-80,221.2690533
P15179,"Aspartate--tRNA ligase, mitochondrial",MSD1,YPL104W,7,7,12,3.17E-36,221.4103199
P40453,Ubiquitin carboxyl-terminal hydrolase 7,UBP7,YIL156W,18,18,24.8,1.81E-97,221.4442227
P40357,Protein transport protein SEC9,SEC9,YGR009C,5,5,9.4,4.77E-44,221.802995
P38206,Oligosaccharide translocation protein RFT1,RFT1,YBL020W,4,4,5.6,5.82E-22,222.2449815
P23255,Transcription initiation factor TFIID subunit 2,TAF2,YCR042C,16,16,12.9,8.80E-66,222.5460417
P35056,Peroxisomal targeting signal receptor,PEX5,YDR244W,9,9,23,1.11E-74,223.3923444
P40351,"Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG8,YOR067C,3,3,5.7,7.19E-12,223.5442468
Q03508,Uncharacterized protein YMR265C,,YMR265C,7,7,19.5,3.16E-30,223.9180098
P38321,Uncharacterized protein YBR225W,,YBR225W,13,13,18.8,2.02E-88,224.4750581
P33334,Pre-mRNA-splicing factor 8,PRP8,YHR165C,31,31,15.3,1.46E-160,224.7339726
P25569,Glucose-induced degradation protein 7,GID7,YCL039W,10,10,21.1,7.18E-107,224.738889
Q12020,Protein SRL2,SRL2,YLR082C,5,5,14.8,6.98E-38,224.9786466
P35169,Serine/threonine-protein kinase TOR1,TOR1,YJR066W,37,34,19.2,1.18E-185,225.0194967
Q3E7A8,Uncharacterized protein YNL162W-A,YNL162W-A,YNL162W-A,1,1,26.4,1.61E-11,225.3308859
Q2V2P7,Uncharacterized protein YDR461C-A,YDR461C-A,YDR461C-A,2,2,31.2,1.63E-12,225.3992885
Q12467,Uncharacterized protein YPL168W,YPL168W,YPL168W,7,7,25.6,3.14E-69,225.6864019
P38162,Uncharacterized protein YBL107C,,YBL107C,4,4,32.7,5.04E-15,225.8357082
Q12753,Transcriptional activator HAA1,HAA1,YPR008W,8,8,16.4,9.98E-49,225.9059885
P53094,Negative regulator of sporulation MDS3,MDS3,YGL197W,20,20,19.3,7.00E-129,226.3758974
P49960,U4/U6 snRNA-associated-splicing factor PRP24,PRP24,YMR268C,11,11,28.4,1.43E-63,226.7991127
P40033,"37S ribosomal protein RSM18, mitochondrial",RSM18,YER050C,3,3,29,9.10E-14,227.0329971
Q06525,Pre-mRNA-splicing factor URN1,URN1,YPR152C,6,6,18.5,4.91E-35,227.5830915
P38815,PX domain-containing protein YPT35,YPT35,YHR105W,2,2,8.9,9.55E-09,227.6419453
Q12417,Pre-mRNA-splicing factor PRP46,PRP46,YPL151C,9,9,31.3,2.71E-52,227.9517569
Q06651,E3 ubiquitin-protein ligase PIB1,PIB1,YDR313C,5,5,21.7,1.18E-19,228.1213871
Q12236,Serine/threonine-protein kinase PKH2,PKH2,YOL100W,23,22,25.6,4.57E-108,228.8219451
Q06436,RING-finger protein MAG2,MAG2,YLR427W,10,10,25.2,3.97E-84,228.8298415
P53750,Uncharacterized hydrolase YNR064C,,YNR064C,5,5,24.1,2.08E-12,229.7669069
P25336,DNA mismatch repair protein MSH3,MSH3,YCR092C,15,15,17.1,1.90E-67,229.93549
P29056,Transcription factor IIIB 70 kDa subunit,BRF1,YGR246C,10,10,29.2,3.86E-59,230.4976469
P53179,pH-response regulator protein palF/RIM8,RIM8,YGL045W,6,6,12.2,7.51E-18,230.7526709
P35688,Rho-GTPase-activating protein LRG1,LRG1,YDL240W,19,19,25.6,2.48E-81,230.8147782
Q00578,DNA repair helicase RAD25,SSL2,YIL143C,10,10,17.3,5.27E-53,231.179611
Q07895,FAS1 domain-containing protein YLR001C,,YLR001C,8,8,11.3,2.15E-39,231.2526768
P36158,Uncharacterized protein YKR078W,YKR078W,YKR078W,12,12,27.5,9.70E-58,231.2554402
P41910,Repressor of RNA polymerase III transcription MAF1,MAF1,YDR005C,2,2,8.1,1.65E-15,231.408186
P24384,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22,PRP22,YER013W,20,20,26,7.82E-98,231.5032358
P39016,Suppressor protein MPT5,MPT5,YGL178W,9,9,13.9,1.05E-53,231.7847527
P50947,Transcriptional regulatory protein PHO23,PHO23,YNL097C,6,6,30,2.09E-47,232.5399125
P32585,Mediator of RNA polymerase II transcription subunit 18,SRB5,YGR104C,4,4,22.8,9.25E-29,233.3595509
Q02866,Protein MUK1,MUK1,YPL070W,11,11,21.9,1.59E-69,233.4920989
P40468,Cell morphogenesis protein PAG1,TAO3,YIL129C,34,34,17,8.77E-178,233.5843496
P53324,Steryl acetyl hydrolase 1,SAY1,YGR263C,7,7,23.3,4.72E-42,234.1475877
P38312,ER-derived vesicles protein ERV15,ERV15,YBR210W,1,1,8.5,8.58E-08,234.3522768
P33314,Inhibitory regulator protein BUD2/CLA2,BUD2,YKL092C,24,24,23.9,1.84E-97,234.3636255
P47130,Cop9 signalosome complex subunit 12,CSN12,YJR084W,5,5,14.4,1.88E-16,235.3960976
P38723,Protein COS8,COS8,YHL048W,6,3,21.3,1.61E-34,235.5424257
Q08438,Phosphopantothenoylcysteine decarboxylase subunit VHS3,VHS3,YOR054C,11,11,36.2,9.38E-111,235.554929
P40317,Protein SOK1,SOK1,YDR006C,9,9,17.6,1.14E-67,235.8064959
P33329,Serine/threonine-protein phosphatase PP-Z2,PPZ2,YDR436W,5,5,10.6,7.47E-48,236.0326551
Q12675,Phospholipid-transporting ATPase DNF2,DNF2,YDR093W,22,18,18.4,2.97E-164,236.081924
Q03956,Regulator of V-ATPase in vacuolar membrane protein 2,RAV2,YDR202C,4,4,16.5,9.26E-18,236.2588503
P11972,Protein SST2,SST2,YLR452C,11,11,18.5,8.14E-50,236.2891126
P25270,"rRNA methyltransferase, mitochondrial",MRM1,YOR201C,6,6,16.5,2.66E-28,236.3804771
Q07799,Uncharacterized protein YLL007C,,YLL007C,11,11,20.5,1.35E-61,236.6473956
Q08278,Mediator of RNA polymerase II transcription subunit 7,MED7,YOL135C,5,5,34.7,9.77E-25,236.7907933
P38305,Altered inheritance of mitochondria protein 4,AIM4,YBR194W,2,2,20.3,1.49E-14,237.136251
P24482,DNA polymerase epsilon subunit B,DPB2,YPR175W,12,12,19.3,9.47E-53,237.1591768
P52911,"Glucan 1,3-beta-glucosidase 2",EXG2,YDR261C,4,4,8.9,3.32E-37,237.3297875
P40151,DNA-dependent ATPase MGS1,MGS1,YNL218W,12,12,25.6,5.55E-46,237.7584465
Q06109,"Required for respiratory growth protein 8, mitochondrial",RRG8,YPR116W,4,4,18.1,8.60E-23,237.9866014
P25357,Probable DNA-binding protein SNT1,SNT1,YCR033W,23,23,24,4.36E-124,238.3863908
P25656,Cell division control protein 50,CDC50,YCR094W,5,5,14.3,6.17E-17,239.6145512
Q04235,tRNA wybutosine-synthesizing protein 2,TRM12,YML005W,5,5,17.5,1.73E-56,240.0102778
Q06682,UBX domain-containing protein 5,UBX5,YDR330W,5,5,13,2.13E-35,241.5381658
P33419,Spindle pole component 29,SPC29,YPL124W,4,4,19.8,1.15E-15,242.1372768
P53858,Protein BNI4,BNI4,YNL233W,14,14,20.2,9.33E-124,242.1618914
P38164,WD repeat-containing protein YBL104C,,YBL104C,10,10,16,6.51E-72,242.4683161
Q06315,Protein SKG3,SKG3,YLR187W,16,16,21.1,3.88E-105,243.1720288
Q12483,Vacuolar-sorting protein SNF8,SNF8,YPL002C,5,5,26.2,4.33E-24,243.930808
P40526,Probable polyprenol reductase,DFG10,YIL049W,2,2,9.1,9.38E-10,244.0990022
Q05676,"Protein SOM1, mitochondrial",SOM1,YEL059C-A,3,3,45.9,2.21E-09,244.6964312
P18480,SWI/SNF chromatin-remodeling complex subunit SNF5,SNF5,YBR289W,5,5,9.1,2.32E-71,244.7496481
Q02796,Transcriptional regulatory protein LGE1,LGE1,YPL055C,6,6,25.6,1.36E-90,244.8464214
P40567,U2 small nuclear ribonucleoprotein B,MSL1,YIR009W,1,1,9.9,1.58E-12,245.0833724
P24309,Lariat debranching enzyme,DBR1,YKL149C,3,3,10.6,2.00E-50,245.2454099
P0CX64;P0CX63;P25384;P0C2J3;Q03494;Q12501;Q12472;Q12491,Transposon Ty2-GR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-F Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-C Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-LR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-DR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-OR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-DR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-B Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H,TY2B-GR2;TY2B-F;TY2B-C;TY2B-LR1;TY2B-DR2;TY2B-OR2;TY2B-DR1;TY2B-B,YLR410W-B;YFL002W-A;YGR161W-B;YFL002W-A;YGR161W-B;YCL019W;YDR210W-B;YDR034C-D;YBL100W-B,25,1,20.3,1.18E-178,245.3542166
P29340,Ubiquitin-conjugating enzyme E2-21 kDa,PEX4,YGR133W,2,2,23.5,2.80E-45,245.884263
P39540,Elongation of fatty acids protein 1,ELO1,YJL196C,3,3,9,1.02E-06,246.2986172
P53065,tRNA-specific adenosine deaminase 1,TAD1,YGL243W,8,8,29.8,1.47E-36,246.6788597
P38222,Ribosomal N-lysine methyltransferase 3,RKM3,YBR030W,10,10,22.5,9.97E-51,246.7265825
Q12334,Protein SCM3,SCM3,YDL139C,4,4,16.6,4.95E-15,246.8400043
P38749,AP-1-like transcription factor YAP3,YAP3,YHL009C,5,5,25.2,2.20E-40,247.1980253
Q12200,Niemann-Pick type C-related protein 1,NCR1,YPL006W,13,13,15.3,4.45E-116,247.5121723
Q04693,Pre-mRNA-splicing factor RSE1,RSE1,YML049C,21,21,22.4,4.58E-130,247.5832075
P36130,CCR4-associated factor 4,CAF4,YKR036C,6,6,14.9,6.99E-53,248.4551403
Q03764,Ethanolamine kinase,EKI1,YDR147W,10,10,24.5,1.41E-51,248.4942901
P18409,Mitochondrial distribution and morphology protein 10,MDM10,YAL010C,8,8,23.1,1.09E-29,248.8087655
P47104,Regulator of V-ATPase in vacuolar membrane protein 1,RAV1,YJR033C,25,25,25,3.69E-156,249.1485908
Q2V2Q1,Antisense of depressing factor protein 1,ADF1,YCL058W-A,2,2,23.9,7.91E-07,249.3576682
P27344,DNA polymerase epsilon subunit C,DPB3,YBR278W,2,2,11.9,1.09E-14,250.0386833
Q12267,Structural maintenance of chromosomes protein 4,SMC4,YLR086W,27,27,23.6,5.54E-189,250.5248821
P41813,Fork head protein homolog 2,FKH2,YNL068C,10,10,17.9,2.04E-59,250.7846765
P50079,SVP1-like protein 2,HSV2,YGR223C,8,8,23.4,5.43E-49,251.1238924
P48566,GTPase-activating protein GYP3,MSB3,YNL293W,10,10,16.9,3.09E-51,251.3066088
P07266,Mitochondrial RNA-splicing protein MRS1,MRS1,YIR021W,6,6,21.5,2.12E-55,251.5133182
P43554,SWI/SNF global transcription activator complex subunit SWP82,SWP82,YFL049W,12,12,23,4.00E-66,251.6941907
P40449,Uncharacterized protein YIL161W,YIL161W,YIL161W,5,5,26.8,6.77E-30,251.7323936
Q12308,Transcription factor tau 60 kDa subunit,TFC8,YPL007C,8,8,13.8,9.32E-32,252.1189278
P53745,"Probable alpha-1,3-mannosyltransferase MNT4",MNT4,YNR059W,8,8,15.5,3.97E-34,252.1472279
O13329,DNA replication fork-blocking protein FOB1,FOB1,YDR110W,8,8,20.8,3.44E-41,252.198678
Q08774,"Required for respiratory growth protein 7, mitochondrial",RRG7,YOR305W,8,8,41.3,1.81E-41,252.5598004
Q05924,Phosphatase DCR2,DCR2,YLR361C,7,7,18.3,2.03E-32,252.8281581
Q03266,Aminodeoxychorismate lyase,ABZ2,YMR289W,6,6,18.7,1.84E-28,253.0377239
P32618,Uncharacterized protein YEL043W,,YEL043W,13,13,19.1,9.72E-129,254.1285996
Q06822,ASTRA-associated protein 1,ASA1,YPR085C,4,4,11.7,3.23E-11,254.9320934
P40314,Nascent polypeptide-associated complex subunit beta-2,BTT1,YDR252W,2,2,16.8,2.81E-15,255.0124037
P18410,Sporulation-specific protein SPO7,SPO7,YAL009W,3,3,12,5.94E-15,255.2337603
P03874,Cytochrome B pre-mRNA-processing protein 2,CBP2,YHL038C,12,12,24,8.12E-85,255.4060617
Q08649,Histone acetyltransferase ESA1,ESA1,YOR244W,9,9,29,5.41E-57,255.7252687
P38783,"Protein FYV4, mitochondrial",FYV4,YHR059W,4,4,30,2.72E-08,256.0640878
P80667,Peroxisomal membrane protein PAS20,PEX13,YLR191W,6,6,15.3,5.61E-17,256.3675657
P29465,Chitin synthase 3,CHS3,YBR023C,21,21,26.4,3.69E-192,257.0785262
Q04659,Chromosome segregation in meiosis protein 3,CSM3,YMR048W,5,5,21.5,1.35E-27,257.3716146
P39009,DNA damage response protein kinase DUN1,DUN1,YDL101C,11,11,21.8,2.05E-42,257.5874602
P06245,cAMP-dependent protein kinase type 2,TPK2,YPL203W,1,1,4.5,3.95E-14,258.1750174
P43572,Enhancer of polycomb-like protein 1,EPL1,YFL024C,16,16,27.4,6.73E-111,258.3131139
P33895,Kinetochore protein NUF2,NUF2,YOL069W,11,11,29,2.23E-66,258.5704997
P36107,Inositol phosphorylceramide synthase catalytic subunit AUR1,AUR1,YKL004W,1,1,6,5.99E-20,258.5834825
P34164,SNF1 protein kinase subunit beta-2,SIP2,YGL208W,6,6,25.1,4.02E-45,258.7837623
P53855,Autophagy-related protein 2,ATG2,YNL242W,21,21,15.6,1.87E-97,259.3815029
Q03758,Ubiquitin ligase-binding protein BUL2,BUL2,YML111W,18,17,27.3,3.50E-73,259.4374314
Q02336,Transcriptional adapter 2,ADA2,YDR448W,7,7,19.4,3.59E-27,261.0544015
P19956,"54S ribosomal protein L44, mitochondrial",MRPL44,YMR225C,2,2,33.7,6.84E-08,261.2635144
P39955,Protein SAP1,SAP1,YER047C,18,17,28.1,7.53E-105,261.544042
Q04489,Asparagine synthetase domain-containing protein YML096W,YML096W,YML096W,7,7,23.8,7.72E-66,262.3169209
P40546,Protein FAF1,FAF1,YIL019W,4,4,16.5,2.43E-49,263.7716016
Q04231,DNA repair protein RAD33,RAD33,YML011C,4,4,35,4.59E-17,264.2060483
P33315,Transketolase 2,TKL2,YBR117C,9,9,17.5,6.26E-39,264.2144101
P53309,Clathrin coat assembly protein AP180B,YAP1802,YGR241C,4,4,8.5,4.56E-27,264.3638329
P25558,Bud site selection protein 3,BUD3,YCL014W,40,40,28.4,4.90E-179,264.6336959
P40549,"Alpha-1,3-mannosyltransferase MNT3",MNT3,YIL014W,7,7,18.9,2.86E-71,265.1202912
P32896,Protein PDC2,PDC2,YDR081C,13,13,15.4,4.55E-75,265.8523102
Q02771,"Protein PET117, mitochondrial",PET117,YER058W,3,3,35.5,1.17E-11,265.9343176
Q08817,Leucine-rich repeat-containing protein SOG2,SOG2,YOR353C,16,16,25.8,8.37E-75,266.5378558
Q06538,Uncharacterized membrane protein YLR241W,YLR241W,YLR241W,6,6,8.4,2.06E-26,266.8079711
P42900,"Sigma-like sequence protein 1, mitochondrial",SLS1,YLR139C,15,15,32.8,1.25E-63,267.2651746
P41800,Maintenance of mitochondrial morphology protein 1,MMM1,YLL006W,4,4,15,1.19E-34,267.6058428
P33300,Mannosyl phosphorylinositol ceramide synthase SUR1,SUR1,YPL057C,9,9,31.9,2.57E-38,268.2967627
P40460,Kinetochore protein NDC80,TID3,YIL144W,18,18,34,1.84E-97,268.7059791
P38987,Protein TEM1,TEM1,YML064C,4,4,25.7,7.09E-39,269.1484803
