Protein IDs,Protein name,Gene name,Uniprot,Peptides,Razor Peptides,Unique Peptides,Sequence Coverage [%],Mol. Weight [kDa],PEP,Intensity Exp1,Intensity Exp2,Intensity Exp3,,
YOR323C,Gamma-glutamyl phosphate reductase;Glutamate-5-semialdehyde dehydrogenase;Glutamyl-gamma-semialdehyde dehydrogenase,O6155;PRO2;YOR323C,P54885,18,18,18,37.7,49.7,5.1E-242,1.1E+08,8.7E+07,2.4E+07,,
YGR135W,Macropain subunit Y13;Multicatalytic endopeptidase complex subunit Y13;Proteasome component Y13;Proteinase YSCE subunit 13,PRE9;PRS5;YGR135W,P23638,9,9,9,51.6,28.7,3.7E-130,6.1E+07,4.6E+07,2.3E+07,,
YLR314C,Cell division control protein 3,CDC3;L8543.7;YLR314C,P32457;Q06161,17,17,17,41.9,60.0,0.0E+00,1.1E+08,2.6E+07,2.3E+07,,
YNL131W,Mitochondrial 17 kDa assembly protein;Mitochondrial 22 kDa outer membrane protein;Mitochondrial import receptor subunit TOM22;Protein MAS17;Translocase of outer membrane 22 kDa subunit,MAS17;MAS22;MOM22;N1217;N1862;TOM22;YNL131W,P49334;Q36757,6,6,6,48,16.8,4.7E-279,5.4E+07,3.0E+07,2.3E+07,,
YER086W,"Ilv1p;Threonine deaminase;Threonine dehydratase, mitochondrial",ILV1;YER086W,D3DLZ2;P00927,13,13,13,36.1,63.8,2.4E-200,9.4E+07,4.7E+07,2.3E+07,,
YMR315W,Uncharacterized protein YMR315W,YM9924.07;YMR315W,Q04869,17,17,17,66.2,38.2,3.3E-254,1.2E+08,1.1E+08,2.3E+07,,
YMR146C,Eukaryotic translation initiation factor 3 39 kDa subunit;Eukaryotic translation initiation factor 3 subunit I,TIF34;YM9375.16C;YMR146C,P40217,16,16,16,53.6,38.8,0.0E+00,2.6E+08,1.2E+08,2.3E+07,,
YOL038W,Macropain subunit PRE6;Multicatalytic endopeptidase complex subunit PRE6;Proteasome component PRE6;Proteinase YSCE subunit PRE6,PRE6;YOL038W,P40303,12,12,12,67.3,28.4,4.4E-134,6.6E+07,5.8E+07,2.3E+07,,
YOR187W,"Elongation factor Tu, mitochondrial;tufM",TUF1;TUFM;YOR187W,P02992,9,9,9,24.7,48.0,1.7E-126,1.0E+08,4.0E+07,2.3E+07,,
YHR089C,Gar1p;H/ACA ribonucleoprotein complex subunit 1;snoRNP protein GAR1,GAR1;YHR089C,D3DL41;P28007,7,7,7,34.1,21.5,1.0E-217,5.4E+07,5.0E+07,2.3E+07,,
YHR143W-A,"ABC10-alpha;DNA-directed RNA polymerases I, II, and III subunit RPABC4;RNA polymerase subunit, found in RNA polymerase complexes I, II, and III",RPB12;RPC10;YHR143BW;YHR143W-A,D3DL93;P40422,5,5,5,92.9,7.7,4.7E-35,1.2E+08,2.9E+07,2.3E+07,,
YNL281W,High-copy Hsp90 suppressor protein 1;Hsp90 co-chaperone HCH1,HCH1;N0589;YNL281W,P53834,8,8,8,79.7,17.2,2.6E-80,6.1E+07,2.3E+07,2.3E+07,,
YMR169C,Aldehyde dehydrogenase [NAD(P)+] 2,ALD3;ALD4;YM8520.18C;YMR169C,P54114,22,22,9,67.8,55.4,0.0E+00,3.3E+07,8.4E+07,2.3E+07,,
YER057C,High dosage growth inhibitor;Hmf1p;Protein HMF1,HIG1;HMF1;YER057C,D3DLW1;P40037,6,6,6,73.6,13.9,0.0E+00,1.8E+08,1.4E+08,2.2E+07,,
YBR126C,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit;General glucose sensor subunit 1;Glycogen metabolism control protein GLC6;Trehalose synthase complex catalytic subunit TPS1;Trehalose-6-phosphate synthase;UDP-glucose-glucosephosphate glucosyltransferase",BYP1;CIF1;FDP1;GGS1;GLC6;TPS1;TSS1;YBR0922;YBR126C,Q00764;Q01801;Q05168;Q6J5J4,13,13,13,40.4,56.1,1.2E-241,5.9E+07,8.9E+07,2.2E+07,,
YIR037W,Glutathione peroxidase 3;Hydrogen peroxide resistance protein 1;Oxidant receptor peroxidase 1;Peroxiredoxin HYR1;Phospholipid hydroperoxide glutathione peroxidase 3,GPX3;HYR1;ORP1;YIR037W,P40581,11,11,9,50.3,18.6,7.5E-167,1.1E+08,6.1E+07,2.2E+07,,
YKL024C,Uridine monophosphate kinase;Uridylate kinase,SOC8;URA6;YKL024C,P15700,11,11,11,82.4,22.9,1.1E-64,2.8E+07,5.1E+07,2.2E+07,,
YPL225W,UPF0368 protein YPL225W,YPL225W,Q08971,6,6,6,46.6,17.4,1.7E-165,1.3E+08,7.1E+07,2.2E+07,,
YHL001W,"60S ribosomal protein L14-B;Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Ap and has similarity to rat L14 ribosomal protein",RPL14B;YHL001W,D3DKR3;P38754,7,7,2,38.4,15.2,6.6E-57,7.5E+08,2.9E+08,2.2E+07,,
YNL301C;YOL120C,60S ribosomal protein L18;RP28,N0425;RP28A;RP28B;RPL18A;RPL18B;YNL301C;YOL120C,P07279,8,7,7,51.6,20.6,1.2E-117,1.1E+09,5.5E+08,2.2E+07,,
YGR019W,4-aminobutyrate aminotransferase;GABA aminotransferase;Gamma-amino-N-butyrate transaminase,UGA1;YGR019W,A5H0J7;P17649,21,21,21,62.8,52.9,0.0E+00,2.1E+07,5.3E+07,2.2E+07,,
YDL178W,"Actin-interacting protein 2;D-lactate dehydrogenase [cytochrome] 2, mitochondrial;D-lactate ferricytochrome C oxidoreductase",AIP2;DLD2;YDL178W,P46681;Q66RH8,10,9,9,26.4,59.3,5.7E-131,1.7E+07,7.2E+06,2.2E+07,,
YMR261C,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 115 kDa subunit;Trehalose synthase complex regulatory subunit TPS3",TPS3;YM8156.03C;YMR261C,P38426;Q6B1W2,22,20,20,29.2,118.8,3.9E-276,6.4E+07,2.7E+07,2.2E+07,,
YBL047C,Bud site selection protein 15;EH domain-containing and endocytosis protein 1,BUD15;EDE1;YBL047C;YBL0501;YBL0520,P34216,30,30,30,31.6,150.8,0.0E+00,1.7E+08,6.7E+07,2.1E+07,,
YBR078W,Cell wall protein ECM33;Extracellular mutant protein 33,ECM33;YBR0727;YBR078W,P38248;P89498,4,4,4,8.1,48.2,9.9E-204,4.0E+08,1.0E+08,2.1E+07,,
YHR190W,Erg9p;Farnesyl-diphosphate farnesyltransferase;FPP:FPP farnesyltransferase;Squalene synthase,ERG9;YHR190W,D3DLD8;P29704,12,12,12,32.4,51.7,7.0E-118,5.1E+07,6.5E+07,2.1E+07,,
YBL075C,Heat shock protein SSA3,SSA3;YBL06.07;YBL0610;YBL075C,P09435;P18862,20,12,12,48.7,70.5,0.0E+00,0.0E+00,3.8E+07,2.1E+07,,
YML008C,Delta(24)-sterol C-methyltransferase;Sterol 24-C-methyltransferase,ERG6;ISE1;LIS1;SED6;YM9571.10C;YML008C,P25087,17,17,17,52.2,43.4,1.3E-285,2.9E+08,2.5E+08,2.1E+07,,
YIL133C,60S ribosomal protein L16-A;L13a;L21;RP22;YL15,RPL13;RPL16A;RPL21A;YIL133C,P26784,16,10,10,65.8,22.2,7.6E-237,5.9E+08,2.2E+08,2.1E+07,,
YHR146W,Crp1p;Uncharacterized protein YHR146W,YHR146W,D3DL95;P38845,18,18,18,42.4,51.1,0.0E+00,1.2E+08,4.2E+07,2.1E+07,,
YOR298C-A,Multiprotein-bridging factor 1;Suppressor of frameshift mutations protein 13,MBF1;SUF13;YOR298C-A,O14467;Q7LGJ8;Q86ZS7,6,6,6,49.7,16.4,2.6E-71,3.4E+08,2.3E+08,2.1E+07,,
YPR127W,Putative pyridoxal reductase,YPR127W,Q06494,10,10,10,40.9,38.6,1.1E-176,0.0E+00,5.2E+07,2.1E+07,,
YCL057W,Oligopeptidase YSCD;Protease D;Proteinase yscD;Saccharolysin,PRD1;YCL057W;YCL57W,P25375,23,23,23,45.5,81.9,0.0E+00,3.1E+07,5.1E+07,2.1E+07,,
YMR062C,"Amino-acid acetyltransferase;Arginine biosynthesis bifunctional protein ARG7 alpha chain;Arginine biosynthesis bifunctional protein ARG7 beta chain;Arginine biosynthesis bifunctional protein ARG7, mitochondrial;Extracellular mutant protein 40;Glutamate N-acetyltransferase;N-acetylglutamate synthase;Ornithine acetyltransferase;Ornithine transacetylase",ARG7;ECM40;YM9916.01C;YMR062C,Q04682;Q04728;Q09168,16,16,16,44,47.8,4.4E-190,2.9E+07,2.4E+07,2.1E+07,,
YLR420W,Dihydroorotase,L9931.1;URA4;YLR420W,P20051,16,16,16,51.4,40.3,0.0E+00,1.6E+08,7.3E+07,2.1E+07,,
YPR048W,Probable NADPH reductase TAH18,TAH18;YP9499.06;YPR048W,Q12181,3,3,3,4,72.3,5.2E-04,5.8E+05,0.0E+00,2.0E+07,,
YML085C,Tubulin alpha-1 chain,TUB1;YML085C,P09733,8,8,6,38.9,49.8,6.0E-256,9.5E+07,8.4E+07,2.0E+07,,
YDL235C,Histidine-containing phosphotransfer protein YPD1;Phosphorelay intermediate protein YPD1;Tyrosine phosphatase-dependent protein 1,D0790;YDL235C;YPD1,Q07688,5,5,5,34.1,19.2,4.9E-136,1.8E+07,9.9E+06,2.0E+07,,
YBL058W,Suppressor of high-copy PP1 protein;UBX domain-containing protein 1,SHP1;UBX1;YBL0509;YBL0515;YBL058W,P34223,12,12,12,48.7,47.0,1.3E-191,6.6E+07,3.6E+07,2.0E+07,,
YGR130C,Uncharacterized protein YGR130C,YGR130C,P53278,22,22,22,34.7,92.7,0.0E+00,6.6E+07,3.4E+07,2.0E+07,,
YMR307W,"1,3-beta-glucanosyltransferase GAS1;Glycolipid-anchored surface protein 1;Glycoprotein GP115",GAS1;GGP1;YM9952.09;YMR307W,P22146;P23151,10,10,10,26.5,59.6,5.5E-225,8.1E+08,2.0E+08,2.0E+07,,
YOR176W,"Ferrochelatase, mitochondrial;Heme synthase;Protoheme ferro-lyase",HEM15;YOR176W,P16622,18,18,18,67.2,44.6,0.0E+00,3.9E+07,1.1E+08,2.0E+07,,
YNR035C,Actin-related protein 2/3 complex subunit 2;Arp2/3 complex 34 kDa subunit,ARC35;N3296;YNR035C,P53731,10,10,10,42.7,39.6,1.4E-152,2.7E+07,3.2E+07,2.0E+07,,
YLR200W,Genes involved in microtubule biogenesis protein 1;Gim complex subunit 1;Prefoldin subunit 6,GIM1;L8167.8;PFD6;YKE2;YLR200W,P52553,7,7,7,87.7,13.3,1.3E-242,9.3E+07,2.3E+07,2.0E+07,,
YIL138C,Tropomyosin-2,TPM2;YIL138C,P40414,12,12,12,68.3,19.1,8.5E-280,6.1E+07,4.2E+07,2.0E+07,,
YKL211C,Anthranilate synthase component 2;Anthranilate synthase component II;Glutamine amidotransferase;Indole-3-glycerol phosphate synthase;PRAI,TRP3;YKL211C,P00937,19,19,19,58.9,53.5,7.8E-162,8.7E+07,5.1E+07,1.9E+07,,
YOR173W,Histidine triad protein;Protein DCS2,DCS2;O3625;YOR173W,Q12123,9,9,9,30,40.9,3.4E-147,1.5E+06,2.7E+07,1.9E+07,,
YOR361C,Cell cycle regulation and translation initiation protein;Eukaryotic translation initiation factor 3 90 kDa subunit;Eukaryotic translation initiation factor 3 subunit B;Translation initiation factor eIF3 p90 subunit,CDC63;PRT1;YOR361C,P06103,23,23,23,45.9,88.1,0.0E+00,1.4E+08,7.9E+07,1.9E+07,,
YDR188W,CCT-zeta;T-complex protein 1 subunit zeta,CCT6;TCP20;TCP6;YD9395.21;YDR188W,P39079,15,15,15,32.6,59.9,4.4E-302,1.3E+08,4.1E+07,1.9E+07,,
YMR260C,Eukaryotic translation initiation factor 1A;Eukaryotic translation initiation factor 4C,TIF11;YM8156.02C;YMR260C,P38912,7,7,7,61.4,17.4,2.5E-45,1.6E+08,6.5E+07,1.9E+07,,
YMR142C,60S ribosomal protein L13-B,RPL13;RPL13B;YM9375.11C;YMR142C,P40212,7,7,1,37.2,22.5,1.2E-143,8.7E+08,2.8E+08,1.9E+07,,
YBL078C,Autophagy-related protein 8;Autophagy-related ubiquitin-like modifier ATG8;Cytoplasm to vacuole targeting protein 5,APG8;ATG8;AUT7;CVT5;YBL0732;YBL078C,P38182,4,4,4,35.9,13.6,3.3E-21,1.4E+06,2.9E+06,1.9E+07,,
YJR070C,Deoxyhypusine dioxygenase;Deoxyhypusine hydroxylase;Deoxyhypusine monooxygenase;Ligand of eIF5A protein 1,J1814;LIA1;MMD1;YJR070C,P47120,14,14,14,62.8,36.2,0.0E+00,1.1E+08,1.2E+08,1.9E+07,,
YHR042W,NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p;NADPH--cytochrome P450 reductase,NCP1;NCPR1;PRD1;YHR042W,D3DKZ0;P16603,21,21,21,42.3,76.8,0.0E+00,1.3E+08,1.4E+08,1.9E+07,,
YJR144W,Mitochondrial genome maintenance protein MGM101,J2181;MGM101;MGM9;YJR144W,P32787,10,10,10,42.4,30.1,2.2E-131,4.6E+07,1.9E+07,1.9E+07,,
YML022W,Adenine phosphoribosyltransferase 1,APT1;YML022W,P49435;Q6Q5A3,7,7,7,49.2,20.6,4.5E-111,5.8E+07,5.8E+07,1.9E+07,,
YOR122C,Profilin,O3275;PFY;PFY1;PRF1;YOR122C;YOR3275C,P07274,4,4,4,39.7,13.7,8.8E-213,5.2E+07,3.7E+07,1.9E+07,,
YJL171C,Uncharacterized protein YJL171C,J0512;YJL171C,P46992,3,3,3,13.6,43.0,1.5E-167,4.8E+07,1.8E+07,1.8E+07,,
YKR042W,Protein UTH1;Youth protein 1,UTH1;YKR042W,P36135,5,5,5,17.3,37.0,2.4E-50,7.2E+06,0.0E+00,1.8E+07,,
YBR214W,Protein SDS24,SDS24;YBR1501;YBR214W,P38314,9,9,9,32.6,57.2,1.7E-188,1.7E+07,7.0E+07,1.8E+07,,
YIL062C,Actin-related protein 2/3 complex subunit 5;Arp2/3 complex 16 kDa subunit,ARC15;YIL062C,P40518,3,3,3,26,17.1,2.5E-58,2.6E+07,6.1E+06,1.8E+07,,
YLR179C,Uncharacterized protein YLR179C,L9470.20;YLR179C,Q06252,7,7,7,58.7,22.2,0.0E+00,6.7E+07,6.9E+07,1.8E+07,,
YER055C,ATP phosphoribosyltransferase;Putative uncharacterized protein,HIS1;YER055C,D3DLV8;P00498,10,10,10,31.6,32.3,3.5E-50,8.5E+07,6.2E+07,1.8E+07,,
YOR046C,ATP-dependent RNA helicase DBP5;DEAD box protein 5;Helicase CA5/6;Ribonucleic acid-trafficking protein 8,DBP5;RAT8;YOR046C,P20449,15,15,15,45.9,53.9,0.0E+00,6.9E+07,2.4E+07,1.8E+07,,
YDL147W,26S proteasome regulatory subunit RPN5;Proteasome non-ATPase subunit 5,D1572;NAS5;RPN5;YDL147W,Q12250,22,22,22,58.9,51.8,0.0E+00,3.6E+07,4.1E+07,1.8E+07,,
YOL145C,Centromere-binding factor 1-dependent protein 1;Cln three-requiring protein 9;RNA polymerase-associated protein CTR9,CDP1;CTR9;YOL145C,O14409;P89105;Q07332;Q08292,17,17,17,20.8,124.7,6.5E-180,1.5E+07,1.4E+07,1.8E+07,,
YDR174W,High mobility group protein 1;High spontaneous mutagenesis protein 2,HMO1;HSM2;YD9395.07;YDR174W,Q03973,9,9,9,63,27.5,1.4E-237,1.1E+08,5.7E+07,1.8E+07,,
YEL011W,"1,4-alpha-glucan-branching enzyme;Glc3p;Glycogen-branching enzyme",GLC3;YEL011W,D3DLN8;P32775,15,15,15,32.4,81.1,1.3E-85,0.0E+00,3.0E+07,1.8E+07,,
YFR030W,Sulfite reductase [NADPH] flavoprotein component,MET10;YFR030W,P39692;Q12683,21,21,21,30.1,114.8,0.0E+00,1.0E+07,2.6E+07,1.8E+07,,
YDR304C,Cyclophilin D;Peptidyl-prolyl cis-trans isomerase D;Rotamase D,CPR5;CYP5;CYPD;D9740.14;YDR304C,P35176,7,7,7,37.3,25.3,7.1E-153,1.0E+08,4.4E+07,1.8E+07,,
YNL061W,Nucleolar protein 2;Putative ribosomal RNA methyltransferase Nop2,N2428;NOP2;YNA1;YNL061W;YNL2428W,P40991,15,15,15,32,69.8,6.7E-242,7.7E+07,1.6E+07,1.7E+07,,
YOR261C,26S proteasome regulatory subunit RPN8,O5360;RPN8;YOR261C,Q08723;Q6Q5I7,12,12,11,34,38.3,2.2E-196,1.0E+08,2.7E+07,1.7E+07,,
YLR208W,Protein transport protein SEC13,ANU3;L8167.4;SEC13;YLR208W,Q04491,10,10,10,48.5,33.0,2.9E-150,1.4E+08,6.5E+07,1.7E+07,,
YDR427W,26S proteasome regulatory subunit RPN9;Proteasome non-ATPase subunit 7,D9461.14;NAS7;RPN9;YDR427W,Q04062,17,17,17,49.6,45.8,3.4E-302,1.5E+08,6.2E+07,1.7E+07,,
YCR028C-A,"Mitochondrial ssDNA-binding protein;Single-stranded DNA-binding protein RIM1, mitochondrial",RIM1;YCR028C-A;YCR28C-A,O11851;P32445,3,3,3,34.1,15.4,3.2E-80,5.2E+07,1.7E+07,1.7E+07,,
YDL097C,26S proteasome regulatory subunit RPN6;Proteasome non-ATPase subunit 4,D2381;NAS4;RPN6;YDL097C,Q12377,18,18,18,56.7,49.8,6.6E-233,1.0E+08,7.1E+07,1.7E+07,,
YML131W,Uncharacterized membrane protein YML131W,YM4987.04;YML131W,Q03102;Q6Q5K5,12,12,12,49.9,40.0,1.7E-231,0.0E+00,8.8E+06,1.7E+07,,
YGL148W,5-enolpyruvylshikimate-3-phosphate phospholyase;Chorismate synthase,ARO2;YGL148W,P28777,18,18,18,77.4,40.8,0.0E+00,2.7E+08,1.1E+08,1.7E+07,,
YOR320C,Glucose N-acetyltransferase 1;N-acetylglucosaminyltransferase,GNT1;O6145;YOR320C,Q12096,4,4,4,7.7,57.6,3.8E-11,2.1E+06,1.3E+06,1.7E+07,,
YJR017C,Parvulin ESS1;Peptidyl-prolyl cis-trans isomerase ESS1;Processing/termination factor 1,ESS1;J1452;PIN1;PTF1;YJR017C,P22696,5,5,5,44.1,19.4,4.4E-44,6.0E+07,1.2E+07,1.7E+07,,
YPR172W,PNP/PMP oxidase homolog;Pyridoxamine 5'-phosphate oxidase homolog,YPR172W,Q06608,7,7,7,35,22.5,6.6E-78,3.5E+07,8.8E+06,1.7E+07,,
YML004C,Aldoketomutase;Glyoxalase I;Ketone-aldehyde mutase;Lactoylglutathione lyase;Methylglyoxalase;S-D-lactoylglutathione methylglyoxal lyase,GLO1;YM9571.15C;YML004C,P50107;Q9HFG0;Q9URB5,13,13,13,48.8,37.2,1.1E-196,2.4E+07,6.5E+07,1.7E+07,,
YKL192C,"Acyl carrier protein, mitochondrial;NADH-ubiquinone oxidoreductase 9.6 kDa subunit",ACP1;YKL192C,P32463,4,4,4,41.6,13.9,1.5E-66,1.0E+08,3.9E+07,1.7E+07,,
YDR487C,"3,4-dihydroxy-2-butanone 4-phosphate synthase",D8035.30;RIB3;YDR487C,Q99258,5,5,5,19.7,22.6,1.2E-154,1.6E+07,3.3E+07,1.7E+07,,
YCR002C,Cell division control protein 10,CDC10;YCR002C;YCR022;YCR2C,P25342,8,8,8,35.7,37.0,1.8E-84,2.7E+07,2.8E+07,1.7E+07,,
YBR106W,Inorganic phosphate transport protein PHO88;Phosphate metabolism protein PHO88,PHO88;YBR0835;YBR106W,P38264,9,9,9,51.1,21.1,1.3E-187,4.2E+08,1.1E+08,1.7E+07,,
YJL014W,CCT-gamma;T-complex protein 1 subunit gamma,BIN2;CCT3;J1336;TCP3;YJL014W,P39077,19,19,19,39,58.8,0.0E+00,2.0E+08,5.6E+07,1.7E+07,,
YBR056W,Uncharacterized glycosyl hydrolase YBR056W,YBR0510;YBR056W,P38081,19,19,19,49.3,57.8,4.7E-211,4.9E+07,3.3E+07,1.6E+07,,
YPR035W;YHR040W,Bcd1p;Box C/D snoRNA protein 1;Glutamate--ammonia ligase;Glutamine synthetase,BCD1;GLN1;YHR040W;YP3085.01;YP9367.15;YPR035W,D3DKY8;P32288;P38772;Q03959,7,7,7,37.3,41.7,2.8E-128,9.0E+07,1.5E+08,1.6E+07,,
YHR087W,Putative uncharacterized protein RTC3;SDO1-like protein YHR087W,YHR087W,D3DL39;P38804,6,6,6,73,12.0,2.0E-186,0.0E+00,9.4E+07,1.6E+07,,
YDL014W,rRNA 2'-O-methyltransferase fibrillarin;U3 small nucleolar RNA-associated protein NOP1,D2870;LOT3;NOP1;YDL014W,P15646;P89890,11,11,11,34.9,34.5,3.1E-166,1.3E+08,1.1E+08,1.6E+07,,
YLR048W;YGR214W,40S ribosomal protein S0-A;40S ribosomal protein S0-B;Nucleic acid-binding protein NAB1A;Nucleic acid-binding protein NAB1B,L2118;NAB1;NAB1A;NAB1B;NAB4;RPS0A;RPS0B;YGR214W;YLR048W;YST1;YST2,P32905;P46654,7,7,7,55.2,28.0,2.4E-100,6.3E+07,3.2E+08,1.6E+07,,
YMR309C,"Eukaryotic translation initiation factor 3 93 kDa subunit;Eukaryotic translation initiation factor 3 subunit C;Nuclear transport protein NIP1;Translation initiation factor eIF3, p93 subunit",NIP1;YM9924.01C;YM9952.11C;YMR309C,P32497,21,21,21,34.2,93.2,0.0E+00,1.2E+08,1.2E+08,1.6E+07,,
YOR209C,Nicotinate phosphoribosyltransferase,NPT1;YOR209C,P39683;Q08626,21,21,21,62.7,49.0,0.0E+00,1.2E+08,8.5E+07,1.6E+07,,
YLR295C,"ATP synthase subunit H, mitochondrial",ATP14;L8003.20;YLR295C,Q12349,5,5,5,40.3,14.1,2.1E-101,8.3E+07,3.2E+07,1.6E+07,,
YJL217W,Uncharacterized protein YJL217W,HRC198;J0226;YJL217W,P40893,5,5,5,22.2,22.0,2.5E-153,1.5E+07,7.1E+06,1.6E+07,,
YMR246W,Fatty acid activator 4;Long-chain acyl-CoA synthetase 4;Long-chain-fatty-acid--CoA ligase 4,FAA4;YM9408.08;YMR246W,P47912;Q05743,19,18,16,36.6,77.3,0.0E+00,2.0E+08,2.5E+08,1.6E+07,,
YML100W,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 123 kDa subunit;Trehalose synthase complex regulatory subunit TSL1",TSL1;YML100W,P38427,27,27,25,36.6,123.0,0.0E+00,9.6E+07,9.1E+07,1.6E+07,,
YFL005W,Ras-related protein SEC4;Suppressor of RHO3 protein 6,SEC4;SRO6;YFL005W,P07560,9,9,9,59.1,23.5,1.3E-297,7.4E+07,5.5E+07,1.6E+07,,
YDR238C,Beta-coat protein;Coatomer subunit beta,SEC26;YD8419.05C;YDR238C,P41810;Q03779,25,25,25,41.2,109.0,0.0E+00,1.1E+08,7.8E+07,1.5E+07,,
YIL094C,"Homoisocitrate dehydrogenase, mitochondrial",LYS10;LYS11;LYS12;YI9910.02C;YIL094C,P40495,8,8,8,33.2,40.1,8.2E-197,5.5E+07,3.4E+07,1.5E+07,,
YMR203W,Mitochondrial import receptor subunit TOM40;Mitochondrial import site protein ISP42;Translocase of outer membrane 40 kDa subunit,ISP42;MOM38;TOM40;YM8325.04;YMR203W,P23644;Q6B1Q9,9,9,9,43.4,42.0,1.4E-137,3.5E+07,6.5E+07,1.5E+07,,
YOR241W,Folylpoly-gamma-glutamate synthetase;Folylpolyglutamate synthase;Tetrahydrofolylpolyglutamate synthase,MET23;MET7;O5248;YOR241W,Q08645,10,10,10,22.3,62.2,3.6E-120,1.7E+08,1.1E+08,1.5E+07,,
YPL063W,Mitochondrial import inner membrane translocase subunit TIM50,TIM50;YPL063W,Q02776,12,12,12,31.5,55.1,7.3E-114,5.3E+07,2.2E+07,1.5E+07,,
YIL155C,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GUT2;YIL155C,P32191,17,17,17,35,72.4,1.7E-242,3.7E+06,9.6E+06,1.5E+07,,
YMR074C,Uncharacterized protein YMR074C,YM9916.13C;YMR074C,Q04773,4,4,4,25.5,16.0,1.4E-168,4.5E+07,2.1E+07,1.5E+07,,
YJR064W,CCT-epsilon;T-complex protein 1 subunit epsilon,CCT5;J1752;TCP5;YJR064W,P40413,22,22,22,47.7,61.9,0.0E+00,2.0E+08,4.2E+07,1.5E+07,,
YMR027W,UPF0364 protein YMR027W,YM9711.17;YMR027W,Q04371,15,15,15,39.8,54.1,4.1E-183,5.3E+07,2.8E+07,1.5E+07,,
YCR030C,Suppressor of yeast profilin deletion,SYP1;YCR030C;YCR30C/YCR29C,P25622;P25623;Q96VH0,16,16,16,23.3,96.1,1.4E-204,2.2E+07,9.6E+06,1.5E+07,,
YMR250W,Glutamate decarboxylase,GAD1;YM9920.04;YMR250W,Q04792,13,13,13,36.8,66.0,5.8E-286,1.9E+07,3.8E+07,1.5E+07,,
YCL037C,RNA-binding protein SRO9;Suppressor of RHO3 protein 9,SRO9;YCL037C;YCL37C,P25567,10,10,10,33.4,48.1,0.0E+00,1.8E+08,3.5E+07,1.5E+07,,
YDR177W,Ubiquitin carrier protein;Ubiquitin-conjugating enzyme E2-24 kDa;Ubiquitin-protein ligase,UBC1;YD9395.10;YDR177W,P21734,7,7,7,59.5,24.2,8.5E-143,2.1E+07,2.5E+07,1.5E+07,,
YGL049C,eIF4G2;Eukaryotic initiation factor 4F subunit p130;mRNA cap-binding protein complex subunit p130,TIF4632;YGL049C,P39936,15,13,13,22.3,103.9,1.8E-218,1.7E+07,1.1E+07,1.5E+07,,
YAL054C,Acetate--CoA ligase 1;Acetyl-coenzyme A synthetase 1;Acyl-activating enzyme 1,ACS1;FUN44;YAL054C,Q01574;Q66RJ0,16,16,16,31.6,79.1,1.7E-191,0.0E+00,2.0E+07,1.5E+07,,
YDR152W,DRG family-regulatory protein 2;Protein GIR2,DFRP2;GIR2;YD8358.08;YDR152W,Q03768,4,4,4,17.7,31.0,4.8E-102,9.3E+06,6.2E+06,1.5E+07,,
YBR082C,Ubiquitin carrier protein 4;Ubiquitin-conjugating enzyme E2 4;Ubiquitin-protein ligase 4,UBC4;YBR0745;YBR082C,P15731,4,4,3,44.6,16.5,8.3E-188,1.2E+08,1.1E+08,1.5E+07,,
YPL171C,NADPH dehydrogenase 3;Old yellow enzyme 3,OYE3;P2291;YPL171C,P41816,3,3,3,12.2,44.9,3.2E-36,0.0E+00,0.0E+00,1.5E+07,,
YKL148C;YJL045W,"Flavoprotein subunit of complex II;SDH1b;Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",J1194;SDH1;SDHA;YJL045W;YKL148C;YKL602,P47052;Q00711,13,13,13,29.5,70.2,6.7E-89,5.1E+07,2.6E+07,1.5E+07,,
YBR073W,DNA repair and recombination protein RDH54;DNA topoisomerase;Putative helicase;RAD homolog 54;Recombination factor TID1;Two hybrid interaction with DMC1 protein 1,RDH54;TID1;YBR0715;YBR073W,P38086,3,3,3,3.3,108.0,1.1E-37,2.4E+06,0.0E+00,1.5E+07,,
YLR089C,"Glutamate pyruvate transaminase;Glutamic--alanine transaminase;Glutamic--pyruvic transaminase;Probable alanine aminotransferase, mitochondrial",ALT1;L9449.15;YLR089C,P52893,10,10,10,33.3,66.4,0.0E+00,1.3E+07,3.1E+07,1.4E+07,,
YER067W,Putative uncharacterized protein;Uncharacterized protein YER067W,YER067W,D3DLX2;P40043,6,6,6,59,19.0,2.9E-133,5.6E+06,8.5E+07,1.4E+07,,
YGR178C,PAB1-binding protein 1,MRS16;PBP1;YGR178C,P53297,16,16,16,25.9,78.8,0.0E+00,3.9E+07,1.1E+07,1.4E+07,,
YDL168W,Alcohol dehydrogenase SFA;Glutathione-dependent formaldehyde dehydrogenase;S-(hydroxymethyl)glutathione dehydrogenase,SFA;SFA1;YDL168W,P32771,9,9,9,31.1,41.0,4.2E-290,5.2E+07,2.4E+07,1.4E+07,,
